127.0.0.1 - - [23/Jun/2022:10:00:25 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [23/Jun/2022:10:00:25 +0530] "GET /spring-mvc-demo/ HTTP/1.1" 200 248
0:0:0:0:0:0:0:1 - - [23/Jun/2022:10:00:25 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [23/Jun/2022:10:00:29 +0530] "GET /spring-mvc-demo/customer/showForm HTTP/1.1" 200 787
0:0:0:0:0:0:0:1 - - [23/Jun/2022:10:01:04 +0530] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 500 8670
0:0:0:0:0:0:0:1 - - [23/Jun/2022:10:05:13 +0530] "GET /spring-mvc-demo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Jun/2022:10:05:13 +0530] "GET /spring-mvc-demo/ HTTP/1.1" 200 248
0:0:0:0:0:0:0:1 - - [23/Jun/2022:10:05:15 +0530] "GET /spring-mvc-demo/customer/showForm HTTP/1.1" 200 787
0:0:0:0:0:0:0:1 - - [23/Jun/2022:10:05:23 +0530] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 217
0:0:0:0:0:0:0:1 - - [23/Jun/2022:10:05:54 +0530] "GET /spring-mvc-demo/ HTTP/1.1" 200 248
0:0:0:0:0:0:0:1 - - [23/Jun/2022:10:05:56 +0530] "GET /spring-mvc-demo/customer/showForm HTTP/1.1" 200 787
0:0:0:0:0:0:0:1 - - [23/Jun/2022:10:06:12 +0530] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 958
0:0:0:0:0:0:0:1 - - [23/Jun/2022:10:07:26 +0530] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 884
0:0:0:0:0:0:0:1 - - [23/Jun/2022:10:07:34 +0530] "POST /spring-mvc-demo/customer/processForm HTTP/1.1" 200 229
